player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Kayla Alexander,TOR,C,4,40,4,40,8.3,.514,.429,.000,.571,12.3,16.8,7.3,1.3,2.3,31.3,14.1,92,117,,0.0,0.0,0.0,-0.032
Julie Allemand,TOR,G,26,759,26,759,14.2,.714,.705,.641,.068,0.8,6.5,29.3,2.6,1.3,27.2,9.6,126,117,,1.6,0.1,1.7,.091
Rebecca Allen,NYL,F-G,21,381,21,381,9.4,.546,.521,.642,.116,4.4,7.3,5.4,1.6,2.1,9.1,12.9,112,111,,0.4,0.4,0.7,.078
Laeticia Amihere,GSV,F,29,330,29,330,14.7,.474,.442,.130,.558,14.0,17.7,15.0,1.9,7.0,19.3,16.6,103,99,,0.1,0.9,1.0,.122
Georgia Amoore,WAS,G,34,762,34,762,4.2,.466,.423,.702,.191,1.1,3.1,24.5,0.7,0.5,26.4,16.2,89,110,,-1.1,0.9,-0.2,-0.012
Nell Angloma,CON,F,29,302,29,302,9.8,.488,.433,.191,.551,8.1,9.1,9.9,2.0,3.2,16.0,19.1,96,111,,-0.2,0.3,0.1,.017
Pauline Astier,NYL,G,36,840,36,840,15.6,.647,.587,.192,.379,2.8,6.2,23.9,2.0,0.5,18.2,17.0,122,111,,2.3,0.8,3.1,.147
Ariel Atkins,LAS,G,32,890,32,890,9.7,.484,.445,.520,.162,3.4,6.4,15.4,2.9,1.3,15.7,16.9,97,113,,-0.4,0.6,0.2,.009
Shakira Austin,WAS,C,33,981,33,981,20.0,.555,.501,.113,.445,7.9,19.2,16.8,1.1,4.4,16.2,27.0,105,100,,0.8,2.6,3.4,.138
Valeriane Ayayi,PHO,F,30,495,30,495,11.6,.579,.452,.492,.794,4.9,10.2,11.7,1.6,1.0,20.2,19.5,104,112,,0.2,0.5,0.7,.056
Rachel Banham,CHI,G,31,398,31,398,8.2,.514,.493,.741,.119,0.9,5.4,13.7,1.1,1.7,15.5,18.3,94,113,,-0.3,0.3,0.0,-0.003
Ornella Bankole,TOR,F,3,15,3,15,-0.3,.347,.000,1.000,1.000,8.2,8.1,0.0,3.4,0.0,25.8,11.4,73,117,,0.0,0.0,0.0,-0.086
Sarah Ashlee Barker,POR,G,26,642,26,642,14.5,.603,.586,.419,.163,4.1,11.5,16.3,1.8,1.3,18.4,19.7,106,113,,0.5,0.4,0.9,.059
Raegan Beers,CON,F,27,291,27,291,11.1,.534,.485,.074,.544,12.8,16.7,11.2,1.9,1.3,20.7,16.0,102,109,,0.1,0.4,0.4,.059
Kierstan Bell,LVA,F,23,255,23,255,4.4,.352,.338,.708,.062,4.3,8.7,8.3,1.2,3.5,13.0,13.6,80,110,,-0.5,0.3,-0.2,-0.032
Lauren Betts,WAS,C,34,571,34,571,17.2,.592,.554,.000,.382,9.1,15.4,10.1,1.7,4.0,14.9,16.9,113,101,,0.9,1.4,2.3,.158
Chloe Bibby,CHI,F,4,51,4,51,12.3,.527,.500,.600,.100,0.0,2.3,19.2,1.9,1.7,8.7,19.4,106,112,,0.0,0.0,0.1,.059
Monique Billings,IND,F,34,697,34,697,17.3,.618,.547,.101,.627,12.0,15.8,7.7,2.1,2.3,11.4,14.2,130,108,,2.2,1.0,3.2,.182
DeWanna Bonner,PHO,F-G,36,990,36,990,14.9,.521,.461,.517,.315,3.5,13.3,9.2,2.2,2.9,6.9,18.0,107,107,,0.8,1.5,2.3,.093
Isobel Borlase,ATL,G,34,446,34,446,8.7,.522,.475,.377,.203,2.6,7.0,11.5,0.8,0.9,14.3,16.6,104,111,,0.1,0.5,0.6,.056
Aliyah Boston,IND,C-F,32,882,32,882,24.5,.615,.574,.224,.288,9.2,19.7,18.2,2.6,3.8,15.5,25.8,117,103,,2.6,1.9,4.4,.202
Cameron Brink,LAS,F,25,454,25,454,16.2,.606,.563,.409,.403,9.5,16.3,11.3,1.4,8.6,23.7,23.6,100,109,,0.0,0.6,0.6,.051
No̩mie Brochant,PHO,F-G,35,790,35,790,10.0,.565,.562,.503,.068,2.1,5.6,12.7,2.2,1.0,14.5,12.2,105,112,,0.3,0.7,1.0,.050
