Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,player
2025-26,TCU,Big 12,SR,G-F,38,38,31.4,6.4,14.2,.453,2.2,6.0,.370,4.2,8.3,.513,.530,1.9,2.2,.892,2.1,5.3,7.4,2.3,1.4,0.2,3.2,2.9,17.1,,Marta Suarez
Career,Career,Career,Career,,140,118,25.8,4.4,10.2,.434,1.3,3.9,.328,3.2,6.3,.499,.496,1.5,1.9,.812,1.7,4.5,6.2,1.7,0.8,0.3,3.1,2.6,11.6,,Marta Suarez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marta Suarez
California (2 Yrs),California (2 Yrs),California (2 Yrs),California (2 Yrs),,66,66,28.6,4.8,11.1,.429,1.2,4.1,.305,3.5,7.1,.500,.484,1.6,2.0,.778,1.7,5.3,7.0,2.0,0.8,0.5,3.8,3.0,12.4,,Marta Suarez
TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),,38,38,31.4,6.4,14.2,.453,2.2,6.0,.370,4.2,8.3,.513,.530,1.9,2.2,.892,2.1,5.3,7.4,2.3,1.4,0.2,3.2,2.9,17.1,,Marta Suarez
Tennessee (2 Yrs),Tennessee (2 Yrs),Tennessee (2 Yrs),Tennessee (2 Yrs),,36,14,14.7,1.6,4.1,.395,0.3,1.2,.256,1.3,2.9,.452,.432,0.9,1.2,.767,1.3,2.1,3.4,0.7,0.3,0.1,1.7,1.4,4.4,,Marta Suarez
2022-23,Texas A&M,SEC,FR,F,19.0,7.0,22.7,4.6,10.2,0.456,0.6,1.4,0.407,4.1,8.7,0.464,0.484,2.8,4.9,0.581,1.9,3.9,5.9,0.5,1.1,1.0,2.5,2.7,12.7,,Janiah Barker
2023-24,Texas A&M,SEC,SO,F,30.0,27.0,26.5,4.9,10.3,0.479,0.8,2.2,0.343,4.2,8.1,0.517,0.516,1.5,2.4,0.63,2.5,5.1,7.6,1.4,1.3,0.7,2.7,2.6,12.2,,Janiah Barker
2024-25,UCLA,Big Ten,JR,F,36.0,3.0,17.5,2.8,5.9,0.465,0.2,0.9,0.182,2.6,5.0,0.517,0.479,1.7,2.6,0.653,1.8,4.2,6.0,1.4,0.6,0.5,2.3,2.3,7.4,,Janiah Barker
2025-26,Tennessee,SEC,SR,F,27.0,21.0,23.9,4.9,10.6,0.465,1.4,3.9,0.365,3.5,6.7,0.522,0.531,3.0,4.1,0.73,2.1,4.6,6.6,1.2,1.1,0.9,2.6,2.5,14.3,,Janiah Barker
Career,Career,Career,Career,,112.0,58.0,22.3,4.2,8.9,0.468,0.7,2.1,0.338,3.5,6.9,0.506,0.506,2.2,3.3,0.653,2.1,4.5,6.5,1.2,1.0,0.7,2.5,2.5,11.2,,Janiah Barker
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janiah Barker
Tennessee (1 Yr),Tennessee (1 Yr),Tennessee (1 Yr),Tennessee (1 Yr),,27.0,21.0,23.9,4.9,10.6,0.465,1.4,3.9,0.365,3.5,6.7,0.522,0.531,3.0,4.1,0.73,2.1,4.6,6.6,1.2,1.1,0.9,2.6,2.5,14.3,,Janiah Barker
Texas A&M (2 Yrs),Texas A&M (2 Yrs),Texas A&M (2 Yrs),Texas A&M (2 Yrs),,49.0,34.0,25.0,4.8,10.2,0.47,0.7,1.9,0.362,4.1,8.3,0.495,0.504,2.0,3.4,0.602,2.3,4.7,6.9,1.0,1.2,0.8,2.6,2.6,12.4,,Janiah Barker
UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),UCLA (1 Yr),,36.0,3.0,17.5,2.8,5.9,0.465,0.2,0.9,0.182,2.6,5.0,0.517,0.479,1.7,2.6,0.653,1.8,4.2,6.0,1.4,0.6,0.5,2.3,2.3,7.4,,Janiah Barker
2022-23,Wisconsin,Big Ten,FR,F,31.0,30.0,24.8,5.1,9.3,0.543,0.0,0.1,0.0,5.1,9.2,0.549,0.543,2.6,3.9,0.669,1.9,3.5,5.4,0.7,0.7,1.9,2.9,2.6,12.7,,Serah Williams
2023-24,Wisconsin,Big Ten,SO,F,30.0,29.0,30.0,6.4,12.3,0.519,0.3,0.8,0.333,6.1,11.5,0.532,0.53,4.4,5.5,0.795,3.1,7.6,10.7,0.9,0.8,2.8,3.6,2.6,17.4,,Serah Williams
2024-25,Wisconsin,Big Ten,JR,F,30.0,30.0,32.0,7.5,15.1,0.493,0.0,0.4,0.083,7.4,14.7,0.505,0.494,4.3,5.5,0.78,2.5,7.3,9.8,2.4,1.1,2.3,3.3,2.5,19.2,,Serah Williams
2025-26,UConn,Big East,SR,F,38.0,38.0,17.4,2.8,4.8,0.588,0.0,0.0,,2.8,4.8,0.588,0.588,1.1,1.5,0.69,1.8,2.7,4.4,1.5,0.7,1.3,1.6,1.9,6.7,,Serah Williams
Career,Career,Career,Career,,129.0,127.0,25.5,5.3,10.0,0.525,0.1,0.3,0.231,5.2,9.7,0.534,0.529,3.0,3.9,0.749,2.3,5.1,7.4,1.4,0.8,2.0,2.8,2.4,13.6,,Serah Williams
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serah Williams
Connecticut (1 Yr),Connecticut (1 Yr),Connecticut (1 Yr),Connecticut (1 Yr),,38.0,38.0,17.4,2.8,4.8,0.588,0.0,0.0,,2.8,4.8,0.588,0.588,1.1,1.5,0.69,1.8,2.7,4.4,1.5,0.7,1.3,1.6,1.9,6.7,,Serah Williams
Wisconsin (3 Yrs),Wisconsin (3 Yrs),Wisconsin (3 Yrs),Wisconsin (3 Yrs),,91.0,89.0,28.9,6.3,12.2,0.515,0.1,0.4,0.231,6.2,11.8,0.525,0.519,3.7,5.0,0.756,2.5,6.1,8.6,1.3,0.8,2.3,3.3,2.6,16.4,,Serah Williams
2022-23,Ga Tech,ACC,FR,G,30.0,29.0,28.4,3.4,8.4,0.409,0.3,1.4,0.19,3.2,7.0,0.452,0.425,2.6,3.8,0.687,1.3,4.3,5.6,3.8,0.9,0.1,3.3,2.2,9.8,,Tonie Morgan
2023-24,Ga Tech,ACC,SO,G,33.0,33.0,32.0,5.7,12.4,0.457,0.5,1.8,0.254,5.2,10.6,0.491,0.476,3.8,5.7,0.679,1.5,5.3,6.8,5.2,1.7,0.3,3.8,2.2,15.6,,Tonie Morgan
2024-25,Ga Tech,ACC,JR,G,33.0,33.0,29.2,5.5,11.2,0.489,0.5,1.8,0.246,5.0,9.3,0.537,0.51,2.3,3.2,0.72,1.1,3.4,4.5,5.6,1.0,0.4,2.3,1.8,13.7,,Tonie Morgan
2025-26,Kentucky,SEC,SR,G,36.0,36.0,34.5,4.9,10.5,0.467,0.6,1.7,0.344,4.3,8.8,0.491,0.495,3.4,4.6,0.731,0.6,2.5,3.1,7.9,0.9,0.6,3.7,2.0,13.8,,Tonie Morgan
Career,Career,Career,Career,,132.0,131.0,31.2,4.9,10.7,0.459,0.4,1.7,0.265,4.4,9.0,0.496,0.48,3.1,4.4,0.703,1.1,3.8,5.0,5.7,1.1,0.4,3.3,2.0,13.3,,Tonie Morgan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonie Morgan
Georgia Tech (3 Yrs),Georgia Tech (3 Yrs),Georgia Tech (3 Yrs),Georgia Tech (3 Yrs),,96.0,95.0,29.9,4.9,10.7,0.457,0.4,1.7,0.235,4.5,9.0,0.498,0.475,2.9,4.3,0.692,1.3,4.3,5.7,4.9,1.2,0.3,3.1,2.1,13.1,,Tonie Morgan
Kentucky (1 Yr),Kentucky (1 Yr),Kentucky (1 Yr),Kentucky (1 Yr),,36.0,36.0,34.5,4.9,10.5,0.467,0.6,1.7,0.344,4.3,8.8,0.491,0.495,3.4,4.6,0.731,0.6,2.5,3.1,7.9,0.9,0.6,3.7,2.0,13.8,,Tonie Morgan
2022-23,Baylor,Big 12,FR,G-F,33,21,25.4,4.5,8.6,0.519,0.0,0.1,0.0,4.5,8.6,0.523,0.519,1.7,2.5,0.655,3.0,6.2,9.2,0.8,1.0,0.8,1.8,2.2,10.6,,Darianna Littlepage-Buggs
2023-24,Baylor,Big 12,SO,G-F,33,32,27.5,4.5,8.6,0.525,0.0,0.2,0.0,4.5,8.4,0.536,0.525,1.5,2.0,0.769,2.5,4.7,7.2,1.5,0.7,0.3,2.1,1.8,10.5,,Darianna Littlepage-Buggs
2024-25,Baylor,Big 12,JR,G-F,28,26,28.8,5.4,10.1,0.53,0.3,1.1,0.267,5.1,9.0,0.561,0.544,2.8,3.8,0.726,3.5,6.6,10.0,2.2,1.0,1.0,1.9,1.9,13.8,,Darianna Littlepage-Buggs
